School Name,SAT Average Overall,% Male Students Completed within 2yrs,% Male Students Completed within 3yrs,% Male Students Completed within 4yrs,% Male Students Completed within 6yrs,% Male Students Completed within 8yrs,% Male Students Withdrawn by 2yrs,% Male Students Withdrawn by 3yrs,% Male Students Withdrawn by 4yrs,% Male Students Withdrawn by 6yrs,% Male Students Withdrawn by 8yrs,% Female Students Completed within 2yrs,% Female Students Completed within 3yrs,% Female Students Completed within 4yrs,% Female Students Completed within 6yrs,% Female Students Completed within 8yrs,% Female Students Withdrawn by 2yrs,% Female Students Withdrawn by 3yrs,% Female Students Withdrawn by 4yrs,% Female Students Withdrawn by 6yrs,% Female Students Withdrawn by 8yrs,School_Id,School Latitude,School Longitude
Oregon State University,1232.0,16.35,36.96,48.8,55.95,57.35,16.92,17.24,18.03,17.88,16.51,15.08,39.16,51.39,57.57,57.78,15.0,13.98,17.56,14.16,12.34,20954200,4456.39,-12327.47
Pacific University,1177.0,13.89,50.24,62.91,60.96,56.35,10.56,12.56,13.62,10.16,0.0,20.86,67.41,74.4,71.86,71.79,6.95,5.7,5.95,4.75,0.0,20961200,4552.14,-12310.88
Portland State University,1099.0,24.69,37.17,43.75,46.81,46.03,20.55,22.3,23.84,24.82,26.12,25.94,41.84,47.96,50.2,48.32,16.76,16.6,19.6,18.63,19.3,20980700,4551.16,-12268.63
University of Portland,1287.0,7.69,57.38,76.72,80.83,81.03,11.92,8.44,6.9,0.0,0.0,14.56,68.38,84.15,83.38,79.95,25.49,5.66,2.68,0.0,0.0,20982500,4557.27,-12272.67
Southern Oregon University,1103.0,12.53,25.4,36.04,40.12,31.25,28.57,22.99,26.58,29.22,35.48,19.24,33.39,41.56,44.15,35.22,17.81,18.97,18.87,18.45,22.79,21014600,4218.51,-12269.51
Corban University,1103.0,12.05,42.15,47.32,62.5,51.79,18.07,23.14,17.86,10.58,14.29,15.86,48.17,63.05,60.28,50.69,8.28,15.85,15.76,10.64,10.6,21033100,4488.24,-12296.11
Bryn Athyn College of the New Church,1151.0,0.0,0.0,31.82,46.34,0.0,0.0,0.0,0.0,0.0,35.48,0.0,0.0,35.71,56.41,0.0,0.0,0.0,0.0,0.0,26.09,21049200,4013.44,-7506.08
Allegheny College,1242.0,0.0,55.4,69.89,70.05,67.57,10.99,12.68,6.99,6.45,0.0,0.0,67.63,76.26,75.86,79.67,11.01,7.05,5.56,5.17,0.0,21066900,4164.87,-8014.72
DeSales University,1180.0,14.41,51.38,60.79,57.58,60.0,12.71,13.3,11.45,12.12,13.6,26.46,54.77,55.47,62.02,53.05,6.8,7.05,7.71,9.56,10.15,21073900,4053.91,-7537.56
Arcadia University,1184.0,9.52,51.0,53.88,50.24,56.28,10.12,18.5,12.14,13.74,9.55,10.12,58.6,49.89,62.67,63.1,9.88,9.07,10.63,6.89,5.69,21108800,4009.26,-7516.39
Bucknell University,1387.0,5.97,73.25,86.36,90.91,85.12,0.0,0.0,0.0,0.0,0.0,5.26,83.85,89.13,91.75,88.18,0.0,0.0,0.0,0.0,0.0,21129100,4095.43,-7688.26
Cabrini University,1106.0,5.45,37.5,48.23,59.06,51.09,23.76,14.5,22.7,9.94,18.98,7.92,47.3,52.59,65.66,64.89,13.53,14.19,16.3,6.63,6.87,21135200,4005.64,-7537.53
California University of Pennsylvania,1050.0,10.88,25.84,29.54,42.87,47.94,31.5,31.63,41.35,29.11,22.02,16.24,34.93,40.93,55.53,57.98,21.88,21.3,26.0,15.57,10.48,21136100,4006.5,-7988.68
Carlow University,1057.0,19.51,35.29,46.75,60.0,55.88,19.51,19.12,16.88,0.0,0.0,19.24,45.88,51.83,53.01,52.0,13.41,8.24,12.47,0.0,0.0,21143100,4043.93,-7996.34
Carnegie Mellon University,1520.0,0.0,50.29,65.24,81.57,79.14,7.65,18.79,21.93,9.49,10.43,0.0,56.42,64.95,86.84,78.64,8.01,22.99,25.43,5.92,8.74,21144000,4044.36,-7994.2
Cedar Crest College,1125.0,0.0,0.0,0.0,0.0,54.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.8,0.0,0.0,0.0,0.0,0.0,21146800,4058.63,-7551.92
Chestnut Hill College,995.0,14.18,44.94,52.9,52.54,52.63,21.28,19.62,16.67,14.41,9.02,27.91,53.47,59.93,59.71,58.4,12.4,9.24,13.48,9.16,12.53,21158300,4008.68,-7522.87
Delaware Valley University,1157.0,9.09,32.85,40.89,49.7,42.93,15.45,17.69,15.99,12.43,20.65,15.1,46.41,57.81,61.28,54.97,11.07,14.07,10.94,11.45,12.73,21198100,4029.87,-7515.85
Drexel University,1317.0,6.61,26.68,68.16,63.49,57.87,8.66,9.36,8.65,11.67,12.83,18.78,46.85,68.24,60.34,56.4,7.4,7.13,8.89,9.46,12.38,21205400,3995.52,-7519.01
Duquesne University,1235.0,12.39,54.86,68.55,72.57,75.37,10.04,10.31,7.81,7.65,8.7,13.74,63.8,75.15,81.35,78.86,3.59,4.19,4.45,4.0,2.85,21210600,4043.59,-7999.31
East Stroudsburg University of Pennsylvania,1060.0,11.07,31.32,35.88,44.02,43.8,22.66,24.9,26.22,25.62,21.71,13.72,39.2,46.54,54.18,51.4,16.06,13.29,20.74,13.31,10.98,21211500,4099.6,-7517.39
Edinboro University of Pennsylvania,1088.0,12.86,26.83,41.46,35.54,41.6,29.27,34.53,31.01,33.72,28.27,11.62,34.91,44.95,47.75,55.09,19.89,24.63,22.29,20.71,14.79,21216000,4187.07,-8012.13
Elizabethtown College,1182.0,12.14,66.47,68.06,65.53,68.82,7.86,8.67,7.33,8.74,7.65,5.97,65.93,68.36,66.86,67.53,6.72,10.37,10.17,6.45,6.03,21219700,4014.92,-7659.32
Gannon University,1134.0,5.68,33.88,46.98,53.31,56.83,16.16,28.1,19.07,22.18,15.5,3.68,36.29,55.05,56.87,63.03,13.16,16.9,9.57,13.21,9.58,21260100,4212.84,-8008.72
Gettysburg College,1361.0,0.0,74.88,76.19,78.33,84.1,0.0,0.0,0.0,0.0,0.0,0.0,84.38,86.6,88.18,87.97,0.0,0.0,0.0,0.0,0.0,21267400,3983.66,-7723.68
Grove City College,1259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21280500,4115.58,-8008.15
Gwynedd Mercy University,1095.0,39.47,51.59,56.25,53.51,46.27,11.4,14.01,17.36,15.79,20.9,37.59,61.34,66.0,52.42,55.03,7.71,10.53,6.2,11.11,9.64,21283200,4020.28,-7523.66
