School Name,% of Students receiving Federal Loan,Title 4 Cost Private,No.of programs offered,Tuition FT Enrollment in $,Enrollment,Highest degree awarded,SAT Writing Midpoint,SAT Math Midpoint,SAT Critical Reading Midpoint,SAT Average Overall,ACT Writing Midpoint, ACT Math Midpoint,ACT English Midpoint,ACT Cumulative Midpoint,Retention Rate FT,Completion Rate 4 year (White),Completion Rate 4 year (2 Or More Races),Completion Rate 4 year (Hawaian/Pacific Islander),Completion Rate 4 year (Hispanic),Completion Rate 4 year (Black),Completion Rate 4 year (Asian),Completion Rate 4 year (American Indian),General Completion Rate,id,Latitude,Longitutde
Jacksonville University,46.589999999999996,431.0,0.0,15498.0,0,4,0.0,555.0,580.0,1135.0,0.0,22.0,22.0,23.0,68.55,54.71,55.559999999999995,0.0,48.28,30.14,50.0,100.0,49.480000000000004,134945,30.353227,-81.60458
Keiser University-Ft Lauderdale,59.63,1495.0,0.0,15394.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.47,70.71,73.91,75.0,66.07,59.27,67.74,58.330000000000005,71.97,135081,26.185869,-80.163959
La Belle Beauty School,27.900000000000002,20.0,6.0,4733.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135142,25.86695,-80.312711
Florida Gateway College,11.93,0.0,0.0,1077.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33,57.14,0.0,53.849999999999994,44.83,100.0,0.0,59.709999999999994,135160,30.175298,-82.5679
Lake Technical College,0.0,0.0,37.0,3873.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135179,28.833446,-81.690874
Lake-Sumter State College,40.92,0.0,0.0,2017.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.08,31.03,40.0,60.0,27.66,50.0,20.0,41.92,135188,28.828649,-81.797193
Fort Myers Technical College,0.0,0.0,31.0,1253.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135267,26.647517,-81.836596
Lively Technical College,0.0,0.0,30.0,1225.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135276,30.448534,-84.339057
Lindsey Hopkins Technical College,0.0,0.0,23.0,2628.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135294,25.794676,-80.208154
Loraines Academy & Spa,71.26,7.0,11.0,9120.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135337,27.783077,-82.713964
Luther Rice College & Seminary,51.580000000000005,1.0,0.0,9196.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27,135364,33.698126,-84.123179
State College of Florida-Manatee-Sarasota,9.5,0.0,0.0,2434.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.17,44.190000000000005,50.0,38.269999999999996,24.740000000000002,56.25,50.0,38.66,135391,27.43804,-82.590887
Manatee Technical College,0.0,0.0,53.0,1790.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135407,27.447894,-82.481088
Traviss Technical College,0.0,0.0,0.0,1729.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135522,27.995822,-81.892381
Merryfield School of Pet Grooming,76.92,53.0,1.0,10123.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135559,26.19044,-80.129991
Trinity International University-Florida,55.00000000000001,0.0,0.0,12515.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135610,25.68307,-80.417646
Miami Lakes Educational Center and Technical College,0.0,0.0,19.0,1328.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135647,25.916128,-80.29513
Miami Dade College,3.02,0.0,0.0,1718.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.43,36.84,0.0,36.74,30.409999999999997,50.79,0.0,33.94,135717,25.777717,-80.190856
University of Miami,25.480000000000004,875.0,0.0,34840.0,0,4,630.0,695.0,685.0,1402.0,9.0,30.0,33.0,32.0,92.77,83.55,79.73,0.0,83.37,85.71,89.83,100.0,83.2,135726,25.72126,-80.278662
Orange Technical College-Mid Florida Campus,0.0,0.0,39.0,1476.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135735,28.471695,-81.415996
Paul Mitchell the School-Jacksonville,53.72,15.0,2.0,11745.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136109,30.259433,-81.527515
North Florida College,0.0,0.0,0.0,1194.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.86,0.0,0.0,71.43,51.43,0.0,0.0,52.21,136145,30.473841,-83.420732
University of North Florida,25.05,0.0,0.0,5103.0,0,4,545.0,540.0,565.0,1113.0,8.0,21.0,23.0,23.0,78.96,68.45,65.48,0.0,60.84,65.12,72.31,0.0,66.59,136172,30.27194,-81.509144
Nova Southeastern University,45.71,1317.0,0.0,29698.0,0,4,0.0,585.0,590.0,1187.0,0.0,23.0,25.0,25.0,77.60000000000001,61.839999999999996,53.849999999999994,0.0,52.03,49.41,80.41,100.0,61.35,136215,26.079337,-80.24248
Northwest Florida State College,21.94,0.0,0.0,1773.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.03,0.0,0.0,41.18,80.0,0.0,0.0,36.66,136233,30.540017,-86.47456
Orange Technical College,0.0,0.0,6.0,1691.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136303,28.550422,-81.383783
Palm Beach Atlantic University,42.08,327.0,0.0,16719.0,0,4,520.0,560.0,575.0,1139.0,0.0,22.0,24.0,23.0,71.32,61.9,47.370000000000005,100.0,62.35000000000001,46.150000000000006,54.55,40.0,58.8,136330,26.7044,-80.05247
