School Name,City,Carnegie Classification Undergraduate Profile,Carnegie Size Setting,Public Average Net Price,Private Average Net Price,"Avg $75,001-$110,000 (Public)","Avg $75,000+ (Public)","Avg $48,001-$75,000 (Public)","Avg $48,001-$75,000 (All)","Avg $30,001-$75,000 (Public)","Avg $30,001-$75,000 (All)","Avg $30,001-$48,000 (Public)","Avg $30,001-$48,000 (All)","Avg $110,000+ (Public)","Avg $110,000+ (All)","Avg $0-$48,000 (Public)","Avg $0-$48,000 (Private)","Avg $0-$30,000 (Public)","Avg $0-$30,000 (Private)"
Gadsden State Community College,Gadsden,2,3,4239.0,0.0,5566.0,5566.0,6546.0,0.0,5352.0,0.0,4624.0,0.0,0.0,0,3918.0,0.0,3742.0,0.0
New Beginning College of Cosmetology,Albertville,-2,-2,0.0,13520.0,0.0,0.0,0.0,15386.0,0.0,13832.0,0.0,12588.0,0.0,0,0.0,12921.0,0.0,12975.0
George C Wallace Community College-Dothan,Dothan,1,3,1520.0,0.0,0.0,0.0,2477.0,0.0,1440.0,0.0,910.0,0.0,0.0,0,1409.0,0.0,1556.0,0.0
George C Wallace State Community College-Hanceville,Hanceville,2,3,8467.0,0.0,12242.0,12262.0,10475.0,0.0,8854.0,0.0,7803.0,0.0,12292.0,0,7359.0,0.0,7178.0,0.0
George C Wallace State Community College-Selma,Selma,1,2,1912.0,0.0,2485.0,2485.0,4424.0,0.0,2434.0,0.0,2007.0,0.0,0.0,0,1790.0,0.0,1733.0,0.0
Herzing University-Birmingham,Birmingham,5,6,0.0,26887.0,0.0,0.0,0.0,0.0,0.0,25625.0,0.0,25625.0,0.0,0,0.0,26887.0,0.0,27308.0
Huntingdon College,Montgomery,10,8,0.0,23330.0,0.0,0.0,0.0,24665.0,0.0,23084.0,0.0,20339.0,0.0,0,0.0,19872.0,0.0,19670.0
Heritage Christian University,Florence,5,6,0.0,4856.0,0.0,0.0,0.0,0.0,0.0,4856.0,0.0,4856.0,0.0,0,0.0,4856.0,0.0,0.0
J. F. Drake State Community and Technical College,Huntsville,1,1,5609.0,0.0,0.0,0.0,6845.0,0.0,6129.0,0.0,5986.0,0.0,0.0,0,5556.0,0.0,5440.0,0.0
J F Ingram State Technical College,Deatsville,-2,-2,4430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4430.0,0.0,4430.0,0.0
Jacksonville State University,Jacksonville,11,13,18336.0,0.0,21862.0,21942.0,20335.0,0.0,18664.0,0.0,17293.0,0.0,22023.0,0,16366.0,0.0,16017.0,0.0
Jefferson State Community College,Birmingham,1,3,9406.0,0.0,12785.0,13678.0,11009.0,0.0,9720.0,0.0,8829.0,0.0,14468.0,0,8197.0,0.0,7947.0,0.0
John C Calhoun State Community College,Tanner,1,3,6604.0,0.0,10049.0,10192.0,8164.0,0.0,6739.0,0.0,5616.0,0.0,10343.0,0,5122.0,0.0,4940.0,0.0
Lawson State Community College,Birmingham,2,2,5820.0,0.0,332.0,332.0,6556.0,0.0,5784.0,0.0,5336.0,0.0,0.0,0,5754.0,0.0,5855.0,0.0
University of West Alabama,Livingston,7,13,16258.0,0.0,18235.0,17582.0,17186.0,0.0,16764.0,0.0,16479.0,0.0,17032.0,0,15414.0,0.0,14938.0,0.0
Lurleen B Wallace Community College,Andalusia,2,2,7116.0,0.0,0.0,0.0,5753.0,0.0,7051.0,0.0,7787.0,0.0,0.0,0,7266.0,0.0,7140.0,0.0
Marion Military Institute,Marion,4,1,12029.0,0.0,14908.0,14546.0,11932.0,0.0,11792.0,0.0,11676.0,0.0,14081.0,0,10719.0,0.0,10081.0,0.0
Miles College,Fairfield,10,11,0.0,14880.0,0.0,0.0,0.0,17921.0,0.0,16197.0,0.0,15434.0,0.0,0,0.0,14443.0,0.0,14181.0
University of Mobile,Mobile,13,11,0.0,18986.0,0.0,0.0,0.0,22093.0,0.0,18900.0,0.0,15600.0,0.0,0,0.0,14829.0,0.0,14325.0
University of Montevallo,Montevallo,11,11,17348.0,0.0,21091.0,21374.0,19582.0,0.0,17923.0,0.0,16120.0,0.0,21633.0,0,14625.0,0.0,13937.0,0.0
Northwest-Shoals Community College,Muscle Shoals,1,2,2595.0,0.0,7616.0,7728.0,4526.0,0.0,2998.0,0.0,1520.0,0.0,7876.0,0,1128.0,0.0,1000.0,0.0
University of North Alabama,Florence,11,13,12631.0,0.0,15356.0,15373.0,12956.0,0.0,11995.0,0.0,10828.0,0.0,15388.0,0,10427.0,0.0,10228.0,0.0
Northeast Alabama Community College,Rainsville,1,2,3232.0,0.0,8414.0,8229.0,6023.0,0.0,4046.0,0.0,2939.0,0.0,7721.0,0,2390.0,0.0,2183.0,0.0
Oakwood University,Huntsville,10,11,0.0,22588.0,0.0,0.0,0.0,22871.0,0.0,21820.0,0.0,20643.0,0.0,0,0.0,20759.0,0.0,20804.0
Reid State Technical College,Evergreen,1,1,186.0,0.0,390.0,390.0,0.0,0.0,112.0,0.0,112.0,0.0,0.0,0,147.0,0.0,159.0,0.0
Bishop State Community College,Mobile,1,2,3163.0,0.0,-3762.0,-3762.0,6673.0,0.0,4031.0,0.0,3040.0,0.0,0.0,0,2980.0,0.0,2967.0,0.0
Samford University,Birmingham,12,14,0.0,30716.0,0.0,0.0,0.0,28936.0,0.0,27154.0,0.0,24416.0,0.0,0,0.0,23132.0,0.0,22382.0
Shelton State Community College,Tuscaloosa,2,3,8017.0,0.0,11618.0,11618.0,9665.0,0.0,9211.0,0.0,8887.0,0.0,0.0,0,7759.0,0.0,7462.0,0.0
Snead State Community College,Boaz,2,2,7179.0,0.0,10306.0,10306.0,8557.0,0.0,7780.0,0.0,7406.0,0.0,0.0,0,6950.0,0.0,6778.0,0.0
University of South Alabama,Mobile,13,16,16223.0,0.0,21560.0,21919.0,17403.0,0.0,15061.0,0.0,12976.0,0.0,22139.0,0,11902.0,0.0,11305.0,0.0
Spring Hill College,Mobile,12,11,0.0,20891.0,0.0,0.0,0.0,20078.0,0.0,16922.0,0.0,13532.0,0.0,0,0.0,14262.0,0.0,14620.0
Stillman College,Tuscaloosa,13,8,0.0,17127.0,0.0,0.0,0.0,20666.0,0.0,18834.0,0.0,17677.0,0.0,0,0.0,15822.0,0.0,15225.0
Talladega College,Talladega,11,11,0.0,13575.0,0.0,0.0,0.0,15556.0,0.0,13875.0,0.0,13035.0,0.0,0,0.0,13087.0,0.0,13099.0
H Councill Trenholm State Community College,Montgomery,2,2,5324.0,0.0,0.0,0.0,7587.0,0.0,5992.0,0.0,5335.0,0.0,0.0,0,5188.0,0.0,5162.0,0.0
Troy University,Troy,7,15,14019.0,0.0,16223.0,15236.0,14999.0,0.0,14037.0,0.0,12921.0,0.0,14597.0,0,12479.0,0.0,12287.0,0.0
Tuskegee University,Tuskegee,10,11,0.0,34926.0,0.0,0.0,0.0,36852.0,0.0,33492.0,0.0,30638.0,0.0,0,0.0,33444.0,0.0,35020.0
United States Sports Academy,Daphne,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Bevill State Community College,Jasper,1,2,7087.0,0.0,11916.0,11916.0,9280.0,0.0,8137.0,0.0,7156.0,0.0,0.0,0,6580.0,0.0,6428.0,0.0
University of Alaska Anchorage,Anchorage,5,12,12531.0,0.0,15855.0,16025.0,13311.0,0.0,12183.0,0.0,10832.0,0.0,16132.0,0,9885.0,0.0,9450.0,0.0
Alaska Bible College,Palmer,7,7,0.0,10592.0,0.0,0.0,0.0,11934.0,0.0,10272.0,0.0,6947.0,0.0,0,0.0,9249.0,0.0,11552.0
University of Alaska Fairbanks,Fairbanks,5,12,9684.0,0.0,16373.0,15517.0,9916.0,0.0,8211.0,0.0,5850.0,0.0,14816.0,0,6938.0,0.0,7394.0,0.0
