School Name,Student Count,"Standardized Test required? (1:Required, 2:Recommended, 3:Neither required nor recommended , 4:Do not know, 5: Considered but not required)",Admission Rate,4Yr Uni Completion Rates,% White Students,% Hispanic Students,% Black Students,% AIAN Students,% Female Students,% Male Students
Embry-Riddle Aeronautical University-Prescott,3015.0,5.0,73.76,69.89999999999999,58.64,15.160000000000002,2.02,0.63,26.669999999999998,73.33
The School of Architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glendale Community College,10528.0,0.0,0.0,0.0,37.49,42.199999999999996,6.660000000000001,1.3599999999999999,56.18,43.82
Grand Canyon University,64210.0,2.0,82.84,44.74,48.55,23.02,14.99,0.95,70.77,29.23
GateWay Community College,3691.0,0.0,0.0,0.0,28.499999999999996,47.870000000000005,10.84,3.2199999999999998,67.0,33.0
Mesa Community College,12167.0,0.0,0.0,0.0,44.519999999999996,33.6,5.93,3.4099999999999997,54.06999999999999,45.93
Mohave Community College,2622.0,0.0,0.0,0.0,64.72,24.75,1.3299999999999998,2.06,69.67999999999999,30.320000000000004
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,779.0,0.0,0.0,0.0,60.980000000000004,15.28,4.88,2.18,6.800000000000001,93.2
Dine College,1224.0,0.0,0.0,5.88,0.8999999999999999,0.33,0.25,97.96000000000001,76.47,23.53
Northern Arizona University,23772.0,2.0,78.35,59.0,56.02,26.08,3.09,2.83,63.54,36.46
Northland Pioneer College,1124.0,0.0,0.0,0.0,42.35,12.01,0.09,38.879999999999995,69.04,30.959999999999997
Ottawa University-Phoenix,348.0,0.0,0.0,0.0,48.559999999999995,31.319999999999997,7.180000000000001,2.01,75.57000000000001,24.43
Phoenix College,6674.0,0.0,0.0,0.0,22.06,56.410000000000004,9.47,2.5,66.06,33.94
Pima Community College,13128.0,0.0,0.0,0.0,35.370000000000005,49.11,4.91,1.97,58.91,41.089999999999996
Pima Medical Institute-Tucson,2485.0,0.0,0.0,66.51,35.13,39.11,8.61,2.25,81.97,18.029999999999998
Pima Medical Institute-Albuquerque,782.0,0.0,0.0,0.0,16.619999999999997,48.72,2.0500000000000003,21.740000000000002,83.89,16.11
Prescott College,383.0,3.0,99.32,40.0,67.89,4.44,2.87,2.35,65.53999999999999,34.46
Refrigeration School Inc,1007.0,0.0,0.0,0.0,34.56,32.97,10.530000000000001,15.590000000000002,7.249999999999999,92.75
Rio Salado College,3824.0,0.0,0.0,0.0,46.03,31.540000000000003,10.15,1.9900000000000002,64.25,35.75
Roberto-Venn School of Luthiery,12.0,0.0,0.0,0.0,91.67,0.0,0.0,0.0,0.0,100.0
Scottsdale Community College,4764.0,0.0,0.0,0.0,52.669999999999995,26.55,5.1,4.32,57.35,42.65
South Mountain Community College,2395.0,0.0,0.0,0.0,14.95,57.54,14.57,3.55,59.29,40.71
