School Name,SAT Average Overall,"% IndepStudents, LowIncome $0-$30,000",% Independent Students,"% DepStudents, LowIncome $0-$30,000","% aided students family income $0-$30,000",% First Generation Students,"% First Gen, Parents w/College","% First Gen, Parents w/MiddleSchool","% First Gen, Parents w/HighSchool","% FirstGenStudents, Completed 2 Years","% FirstGenStudents, Completed 3 Years","% FirstGenStudents, Completed 4 Years","% FirstGenStudents, Completed 6 Years","% FirstGenStudents, Completed 8 Years",% Students W/Bachelors Degree at 25 Years Old,% Students Born Within the U.S.,% Population of White Students by ZIP Code,% Population of Hispanic Students by ZIP Code,% Population of Black Students by ZIP Code,% Population of Asian Students by ZIP Code,% Students W/Professional Deg at 25YrsbyZIP,% IndepStudents Completed 2 Years,% IndepStudents Completed 3 Years,% IndepStudents Completed 4 Years,% IndepStudents Completed 6 Years,% IndepStudents Completed 8 Years,% IndepStudents Withdrawn 2 Years,% IndepStudents Withdrawn 3 Years,% IndepStudents Withdrawn 4 Years,% IndepStudents Withdrawn 6 Years,% IndepStudents Withdrawn 8 Years,% DepStudents Completed 2 Years,% DepStudents Completed 3 Years,% DepStudents Completed 4 Years,% DepStudents Completed 6 Years,% DepStudents Completed 8 Years,% DepStudents Withdrawn 2 Years,% DepStudents Withdrawn 3 Years,% DepStudents Withdrawn 4 Years,% DepStudents Withdrawn 6 Years,% DepStudents Withdrawn 8 Years,% NonFirstGenStudents Completed 2 Years,% NonFirstGenStudents Completed 3 Years,% NonFirstGenStudents Completed 4 Years,% NonFirstGenStudents Completed 6 Years,% NonFirstGenStudents Completed 8 Years,% NonFirstGenStudents Withdrawn 2 Years,% NonFirstGenStudents Withdrawn 3 Years,% NonFirstGenStudents Withdrawn 4 Years,% NonFirstGenStudents Withdrawn 6 Years,% NonFirstGenStudents Withdrawn 8 Years,% FirstGenStudents Completed 2 Years,% FirstGenStudents Completed 3 Years,% FirstGenStudents Completed 4 Years,% FirstGenStudents Completed 6 Years,% FirstGenStudents Completed 8 Years,% FirstGenStudents Withdrawn 2 Years,% FirstGenStudents Withdrawn 3 Years,% FirstGenStudents Withdrawn 4 Years,% FirstGenStudents Withdrawn 6 Years,% FirstGenStudents Withdrawn 8 Years,id,Latitude,Longitutde
Cazenovia College,1067.0,72.5,14.57,28.36,34.79,29.7,70.3,2.18,27.52,0.0,0.0,7.59,9.83,14.52,1393.0,9331.0,8936.0,387.0,582.0,139.0,988.0,34.38,37.14,63.16,47.37,62.79,0.0,0.0,0.0,0.0,0.0,14.93,51.38,54.72,58.79,55.24,0.0,0.0,0.0,0.0,0.0,27.27,48.48,50.63,61.11,60.49,0.0,0.0,0.0,0.0,0.0,14.61,49.73,57.59,56.61,54.84,0.0,0.0,0.0,0.0,0.0,18984800,4293.25,-7585.49
Clarkson University,1289.0,0.0,3.25,0.0,15.68,15.29,84.71,0.82,14.47,0.0,0.0,5.44,5.36,9.44,1465.0,9381.0,9141.0,338.0,390.0,143.0,1043.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75,64.05,78.32,83.43,75.13,0.0,6.49,4.34,0.0,6.53,10.96,59.44,71.35,78.02,69.49,0.0,9.17,9.17,0.0,7.75,19004400,4466.27,-7499.94
Colgate University,1448.0,0.0,0.0,0.0,18.85,18.08,81.92,3.29,14.79,0.0,0.0,0.0,0.0,0.0,2102.0,8643.0,8081.0,873.0,826.0,456.0,1538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.12,0.0,91.39,88.96,0.0,0.0,0.0,0.0,0.0,0.0,82.95,0.0,85.59,89.91,0.0,0.0,0.0,0.0,0.0,19009900,4281.95,-7553.63
Columbia University in the City of New York,1528.0,72.88,35.09,34.27,47.82,25.05,74.95,3.14,21.91,4.4,5.0,4.07,8.8,7.82,2209.0,7794.0,7009.0,1442.0,1231.0,763.0,1640.0,30.43,47.7,64.47,70.18,69.77,14.95,18.1,16.58,11.33,10.35,15.89,81.02,86.76,86.17,87.61,7.22,6.48,6.37,5.62,4.83,21.15,72.58,78.57,80.22,80.84,8.12,9.07,8.82,7.66,6.12,21.41,66.2,77.91,78.09,79.2,11.85,12.0,11.63,8.61,8.4,19015000,4080.83,-7396.19
Cornell University,1510.0,82.89,5.73,20.61,24.18,15.42,84.58,1.62,13.8,0.0,0.0,0.0,3.13,4.21,2099.0,8366.0,7932.0,958.0,809.0,621.0,1572.0,72.5,74.51,0.0,76.36,80.0,0.0,0.0,0.0,0.0,0.0,15.45,86.44,0.0,92.93,89.94,0.0,0.0,0.0,0.0,0.0,14.72,88.06,93.6,93.78,91.4,5.66,2.58,2.25,2.02,2.84,19.67,82.92,90.18,89.98,86.84,7.06,4.63,3.81,3.44,4.34,19041500,4244.72,-7648.31
D'Youville  University,1135.0,68.68,32.52,21.1,36.57,27.09,72.91,0.0,0.0,5.17,0.0,8.25,12.74,13.78,1300.0,9270.0,7761.0,515.0,1597.0,161.0,872.0,25.83,51.49,64.43,55.88,56.17,10.0,16.42,10.07,15.44,9.88,11.24,39.87,57.73,60.87,55.62,10.36,9.18,9.62,7.14,8.49,13.1,48.41,66.42,68.06,62.42,7.14,8.92,8.03,8.33,7.01,16.21,40.61,57.1,55.41,52.97,12.07,12.63,10.56,10.19,9.73,19071600,4290.26,-7889.09
Dominican University New York,1058.0,64.95,21.18,27.98,35.81,32.13,67.87,2.74,29.39,0.0,0.0,12.03,11.24,17.79,1714.0,7657.0,6817.0,1698.0,1589.0,485.0,1189.0,48.48,55.79,58.12,64.41,59.63,0.0,13.68,9.4,11.86,10.09,12.54,36.96,43.37,53.8,48.76,0.0,11.49,11.24,9.81,8.91,26.04,48.15,60.87,64.58,54.39,0.0,12.04,7.97,0.0,9.65,20.13,38.83,41.75,54.44,50.13,0.0,11.97,11.79,0.0,9.02,19076100,4104.74,-7395.06
Fordham University,1402.0,57.32,8.13,19.58,22.64,17.64,82.36,1.58,16.06,0.0,4.76,7.84,8.93,9.23,1907.0,7777.0,7155.0,1562.0,1238.0,566.0,1370.0,27.46,45.32,54.35,50.0,64.19,20.42,22.3,18.12,19.75,14.19,6.39,73.21,80.89,81.63,77.85,4.51,5.63,4.89,4.26,5.31,5.99,73.33,81.44,80.98,79.08,3.55,5.33,4.96,4.63,4.36,10.99,67.65,75.75,75.68,73.88,8.79,9.24,7.09,7.12,8.05,19124100,4085.94,-7388.27
Hamilton College,1492.0,0.0,0.0,0.0,19.82,13.29,86.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2103.0,8636.0,8159.0,776.0,819.0,430.0,1625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.25,93.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.89,88.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19151500,4305.02,-7540.82
Hartwick College,1147.0,0.0,5.28,0.0,25.44,27.09,72.91,0.0,0.0,0.0,7.33,11.5,12.97,22.18,1664.0,8965.0,8578.0,620.0,699.0,242.0,1220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.96,46.15,66.27,51.72,0.0,17.89,16.48,10.24,12.41,0.0,31.47,37.5,53.48,46.48,0.0,21.12,27.0,15.51,11.27,19153300,4245.76,-7507.2
Hilbert College,1006.0,83.33,16.56,27.99,37.15,38.14,61.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1298.0,9547.0,9053.0,243.0,578.0,81.0,824.0,0.0,51.22,52.5,64.29,43.55,33.33,24.39,0.0,0.0,19.35,0.0,54.87,49.53,55.83,51.94,19.7,14.87,0.0,0.0,14.84,0.0,60.38,59.18,70.67,71.21,18.33,0.0,0.0,0.0,0.0,0.0,52.46,47.78,52.94,45.52,22.73,0.0,0.0,0.0,0.0,19162100,4275.46,-7882.03
Hobart William Smith Colleges,1285.0,0.0,1.33,0.0,16.49,12.5,87.5,0.0,0.0,0.0,0.0,7.83,12.5,10.06,1947.0,8875.0,8485.0,639.0,718.0,298.0,1516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.94,76.67,80.66,82.82,6.51,6.86,0.0,0.0,0.0,0.0,61.64,66.27,61.67,71.7,8.59,14.47,0.0,0.0,0.0,19163000,4285.81,-7698.55
Hofstra University,1288.0,77.52,8.22,20.95,25.6,23.53,76.47,1.29,22.24,0.0,6.35,10.58,13.13,16.81,1847.0,8236.0,7749.0,980.0,1143.0,465.0,1295.0,35.05,51.72,54.69,57.69,44.3,20.62,17.24,8.59,12.31,16.11,9.64,54.63,66.0,63.66,63.2,9.97,8.96,8.68,7.89,6.94,9.43,59.82,70.36,65.73,70.08,11.13,5.44,6.0,5.43,5.83,12.9,50.95,61.57,61.6,56.49,10.49,12.26,10.34,9.96,8.87,19164900,4071.6,-7360.08
Houghton University,1193.0,63.93,11.17,20.21,25.09,17.01,82.99,0.0,0.0,0.0,0.0,9.09,16.54,13.17,1356.0,9534.0,9160.0,249.0,458.0,127.0,925.0,0.0,0.0,0.0,0.0,0.0,55.0,43.18,52.38,37.5,50.0,0.0,0.0,0.0,0.0,0.0,15.62,20.97,35.27,14.91,13.89,6.62,46.97,38.24,59.84,62.41,11.26,21.97,31.62,11.81,17.29,18.64,32.5,25.87,44.36,46.11,28.25,26.25,41.26,23.31,21.56,19167600,4242.61,-7815.54
Iona University,1176.0,0.0,2.77,0.0,28.82,31.35,68.65,3.28,28.07,0.0,5.12,7.32,12.94,16.8,1741.0,7819.0,7296.0,1486.0,1299.0,463.0,1265.0,0.0,47.62,58.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.08,56.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.51,53.62,62.25,65.43,64.47,8.37,9.66,11.27,8.64,6.14,5.77,42.24,54.78,61.01,58.69,11.53,14.03,14.82,11.76,9.27,19193100,4092.57,-7378.8
Jewish Theological Seminary of America,1449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2290.0,8367.0,7999.0,772.0,778.0,636.0,1790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19204000,4081.19,-7396.06
Keuka College,1144.0,54.85,36.52,27.01,37.18,38.21,61.79,2.56,35.65,0.0,0.0,0.0,8.22,17.26,1239.0,9515.0,9058.0,274.0,556.0,101.0,870.0,26.96,57.75,62.96,52.17,22.76,0.0,8.91,8.47,15.76,20.0,8.35,43.78,52.22,55.19,46.65,0.0,11.75,12.22,10.74,13.7,10.88,51.32,64.81,60.4,42.64,0.0,9.21,0.0,10.89,15.5,15.37,48.33,53.74,52.12,33.93,0.0,11.11,0.0,13.31,16.87,19219200,4261.53,-7709.06
Le Moyne College,1224.0,68.55,8.9,17.8,22.31,22.29,77.71,1.53,20.76,0.0,4.53,8.29,8.51,9.77,1522.0,9279.0,8786.0,380.0,650.0,191.0,1059.0,37.21,53.23,60.34,51.56,61.64,0.0,0.0,0.0,0.0,0.0,12.7,62.77,75.23,73.39,71.9,0.0,0.0,0.0,0.0,0.0,13.2,66.45,77.74,77.63,75.83,6.8,4.98,3.55,3.73,4.3,15.34,58.71,71.11,67.14,67.5,9.94,7.4,7.04,8.27,7.95,19232300,4304.92,-7609.04
Long Island University,1219.0,77.08,32.08,40.33,52.12,35.64,64.36,4.31,31.33,0.0,4.75,9.77,13.86,16.13,1517.0,7143.0,5864.0,1578.0,2402.0,639.0,1029.0,31.22,42.24,39.6,41.45,31.62,29.67,30.77,28.61,23.98,24.22,11.71,35.56,44.56,47.75,44.12,12.77,16.65,15.1,15.24,11.99,16.9,44.35,52.6,51.13,50.24,12.52,14.52,12.4,14.15,12.44,17.57,35.81,40.14,44.41,38.06,19.44,23.45,21.43,18.93,16.22,19244800,4082.07,-7359.37
Manhattanville College,1161.0,0.0,5.12,0.0,30.84,30.1,69.9,3.76,26.34,0.0,0.0,8.93,14.69,19.0,1887.0,8002.0,7569.0,1498.0,1094.0,428.0,1448.0,41.67,0.0,0.0,0.0,47.83,0.0,0.0,0.0,0.0,0.0,9.51,0.0,0.0,0.0,54.87,0.0,0.0,0.0,0.0,0.0,13.98,55.28,67.71,68.47,54.86,0.0,8.94,0.0,0.0,0.0,10.79,55.17,61.43,60.84,54.33,0.0,11.03,0.0,0.0,0.0,19274900,4103.22,-7371.56
Marist College,1282.0,62.71,8.94,12.26,16.77,18.84,81.16,0.74,18.1,0.0,4.67,7.56,8.57,7.37,1856.0,8762.0,8473.0,755.0,690.0,343.0,1323.0,34.21,53.61,53.26,49.0,53.68,15.79,16.49,20.65,24.0,19.85,10.34,69.94,77.92,82.72,82.06,4.08,4.11,4.37,2.01,2.02,9.0,73.36,77.86,83.47,80.16,3.52,3.69,4.5,2.33,2.78,14.71,64.09,73.8,75.62,77.4,6.13,6.64,7.01,5.9,5.29,19281900,4172.09,-7393.55
Marymount Manhattan College,1168.0,0.0,8.54,0.0,31.76,22.64,77.36,1.98,20.65,0.0,0.0,11.07,16.12,19.64,1994.0,8305.0,7693.0,1041.0,1103.0,502.0,1362.0,0.0,24.59,51.85,57.69,44.83,38.78,44.26,0.0,0.0,0.0,0.0,52.35,57.65,51.22,53.41,18.62,14.99,0.0,0.0,0.0,12.0,55.79,59.3,55.56,55.17,12.0,13.68,9.88,15.03,9.77,8.19,44.97,56.07,49.17,51.43,25.94,21.38,12.14,15.29,11.43,19286400,4076.88,-7395.98
Mercy College,1061.0,69.36,35.35,43.51,52.65,41.87,58.13,5.52,36.35,0.0,3.12,6.47,10.95,11.08,1318.0,6721.0,4793.0,3007.0,2797.0,441.0,944.0,31.88,43.26,49.14,48.43,43.11,23.19,21.56,20.98,17.95,17.81,13.01,36.36,50.53,51.9,44.97,22.86,21.1,15.98,15.88,16.62,20.7,41.01,54.84,59.01,47.23,19.14,19.42,14.66,14.6,17.41,18.78,38.43,49.07,49.07,43.82,23.63,21.58,18.33,17.0,16.96,19301600,4102.16,-7387.44
Molloy College,1235.0,62.42,19.91,21.46,29.61,35.3,64.7,2.11,33.19,0.0,2.81,6.3,8.36,8.55,1671.0,7732.0,7001.0,1147.0,1686.0,558.0,1153.0,42.51,60.62,65.24,67.87,61.62,0.0,6.25,8.56,9.05,8.08,12.89,45.77,65.51,73.74,71.67,0.0,8.92,7.54,6.76,7.13,18.38,51.54,73.89,77.02,73.58,5.13,5.29,0.0,7.23,0.0,19.7,47.52,62.52,70.42,67.29,9.67,9.57,0.0,7.4,0.0,19329200,4068.59,-7362.62
Mount Saint Mary College,1087.0,60.83,19.94,19.63,27.85,37.15,62.85,2.49,34.66,0.0,6.33,8.3,13.53,17.98,1501.0,8605.0,8024.0,1119.0,967.0,296.0,1088.0,27.19,44.25,52.29,51.26,54.3,14.91,9.73,9.17,10.08,9.27,8.71,45.83,55.62,64.95,54.6,6.32,11.11,10.43,4.74,4.4,12.23,42.54,60.0,72.62,58.33,0.0,9.7,12.14,0.0,0.0,12.44,46.47,53.49,58.26,53.33,0.0,11.19,9.61,0.0,0.0,19335300,4151.39,-7401.27
College of Mount Saint Vincent,1102.0,62.32,16.03,38.87,42.62,41.02,58.98,5.23,35.79,0.0,0.0,0.0,18.21,15.51,1457.0,6872.0,5596.0,2817.0,1959.0,555.0,1059.0,71.76,77.14,81.01,31.71,61.84,0.0,0.0,0.0,31.71,0.0,3.94,43.1,48.63,45.38,49.21,0.0,0.0,0.0,10.6,0.0,12.96,46.15,70.37,46.73,59.77,12.96,0.0,0.0,14.02,0.0,15.65,48.37,52.54,43.05,49.31,11.0,0.0,0.0,12.25,0.0,19339900,4091.37,-7390.89
New York University,1507.0,67.15,10.76,28.02,32.23,21.49,78.51,2.77,18.72,0.0,2.53,4.45,6.15,10.21,2167.0,7872.0,7415.0,1208.0,1011.0,751.0,1545.0,49.71,64.67,70.39,63.97,62.15,11.99,11.68,15.58,14.78,17.14,12.28,68.15,72.58,78.18,76.01,10.53,14.43,15.91,10.16,8.22,13.34,69.59,73.66,79.45,76.77,11.16,13.92,15.48,9.65,8.76,18.85,65.98,70.97,73.48,71.38,10.25,14.34,16.29,11.79,10.11,19390000,4072.95,-7399.73
Niagara University,1160.0,75.71,10.49,17.91,23.97,24.15,75.85,1.1,23.05,3.36,8.37,12.84,9.09,13.35,1430.0,9418.0,8961.0,254.0,625.0,135.0,952.0,20.0,18.52,46.38,66.1,55.41,24.0,20.99,26.09,0.0,0.0,6.14,49.66,22.55,66.03,62.15,10.18,15.44,44.32,0.0,0.0,5.7,54.24,24.63,66.06,69.38,9.51,13.65,42.91,11.01,0.0,8.4,40.39,25.0,66.02,57.29,12.61,17.73,42.34,10.61,0.0,19397300,4313.73,-7903.67
New York Institute of Technology,1218.0,78.85,13.45,33.71,39.78,32.97,67.03,3.46,29.51,0.0,0.0,8.09,15.42,17.31,1611.0,7823.0,6801.0,1441.0,1630.0,586.0,1036.0,41.98,38.78,51.49,36.67,36.2,0.0,22.45,14.18,24.0,22.17,7.12,38.73,50.89,45.04,33.41,0.0,12.67,11.69,16.71,20.84,15.28,43.91,52.55,47.81,40.44,17.03,13.04,9.41,16.42,19.44,8.65,36.56,50.33,41.9,31.4,16.83,14.26,13.2,18.54,21.76,19409100,4081.24,-7360.78
Alliance University,989.0,74.86,40.05,37.79,52.63,37.39,62.61,5.04,32.35,0.0,0.0,0.0,9.63,8.97,1454.0,7397.0,5403.0,1829.0,2817.0,516.0,959.0,18.09,22.77,30.46,30.09,32.91,39.36,42.57,37.09,33.33,29.96,12.96,33.08,37.59,39.14,41.86,32.79,21.67,24.11,15.29,16.97,15.22,37.5,40.4,42.06,49.68,29.35,19.23,24.24,17.76,12.26,15.16,26.04,33.53,33.94,35.5,37.32,34.07,29.94,23.62,24.24,19416100,4070.58,-7401.56
Pace University,1219.0,60.84,11.04,27.13,30.85,29.41,70.59,2.39,27.02,0.0,6.5,11.2,16.2,18.0,1751.0,7480.0,6926.0,1553.0,1380.0,660.0,1228.0,48.21,60.0,59.65,54.79,54.09,11.16,14.58,13.6,14.56,11.67,8.33,46.79,51.62,51.28,51.81,12.06,14.85,15.76,15.98,12.41,12.31,52.04,56.01,54.95,52.96,10.12,14.03,14.4,16.25,13.44,13.58,46.75,50.91,50.36,51.82,12.92,15.19,16.04,15.56,11.88,19431000,4071.1,-7400.47
Pratt Institute-Main,1315.0,71.79,7.36,23.12,26.7,19.26,80.74,1.0,18.25,0.0,0.0,0.0,9.05,11.07,1990.0,8093.0,7582.0,1151.0,1105.0,579.0,1400.0,0.0,46.34,46.51,59.52,61.29,0.0,0.0,0.0,0.0,0.0,0.0,57.77,63.46,63.66,64.52,0.0,0.0,0.0,0.0,0.0,12.84,60.0,62.04,64.05,67.12,6.88,6.91,13.14,18.18,13.56,13.18,54.01,62.23,62.5,61.07,13.57,12.89,14.03,15.95,14.64,19457800,4069.13,-7396.43
Rensselaer Polytechnic Institute,1450.0,80.39,2.45,15.33,16.92,13.75,86.25,1.69,12.05,0.0,0.0,2.63,7.79,8.09,1858.0,8855.0,8580.0,670.0,596.0,359.0,1279.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,57.1,80.94,83.62,85.77,6.61,13.64,5.55,4.45,2.88,8.76,57.27,77.75,80.65,79.37,4.84,15.18,7.42,3.77,4.18,19482400,4273.0,-7367.66
Roberts Wesleyan University,1154.0,40.9,39.41,17.86,26.94,27.2,72.8,1.92,25.29,0.0,0.0,9.12,8.9,13.83,1444.0,9401.0,8687.0,336.0,853.0,134.0,919.0,61.35,73.29,63.19,52.81,61.29,11.66,0.0,6.75,13.48,10.32,18.49,60.14,68.3,61.45,52.08,7.98,0.0,6.79,9.24,9.72,30.14,60.87,75.97,61.64,62.11,8.22,7.45,0.0,12.33,10.56,39.22,67.39,60.95,55.87,51.42,10.2,6.16,0.0,10.32,9.57,19495800,4312.58,-7779.85
Rochester Institute of Technology,1369.0,83.83,6.21,20.73,24.65,19.47,80.53,1.51,17.96,0.0,1.65,3.9,6.72,7.93,1735.0,9073.0,8600.0,529.0,699.0,282.0,1170.0,39.19,42.31,56.79,52.74,49.81,8.11,13.46,13.58,16.46,21.79,5.19,33.02,58.37,65.9,64.76,10.88,10.95,13.31,11.54,12.68,5.64,34.55,62.66,69.84,68.05,8.53,8.58,10.84,8.78,12.17,8.64,32.7,54.42,60.33,59.7,12.81,13.63,15.52,14.71,14.61,19500300,4308.42,-7767.39
University of Rochester,1455.0,72.31,14.06,21.37,28.53,18.68,81.32,1.48,17.19,4.01,3.96,5.36,9.41,7.88,2026.0,8823.0,8373.0,690.0,716.0,406.0,1475.0,65.04,81.48,87.5,71.14,78.46,0.0,0.0,0.0,7.38,0.0,9.73,74.97,82.84,83.92,80.22,0.0,0.0,0.0,2.46,0.0,15.83,79.08,86.56,83.64,81.68,4.79,5.38,3.16,3.49,4.3,18.87,72.03,80.13,80.09,77.8,9.2,6.93,4.91,2.84,7.4,19503000,4312.64,-7763.12
St Bonaventure University,1174.0,0.0,4.66,0.0,22.16,18.64,81.36,0.0,0.0,0.0,0.0,8.54,14.53,15.55,1556.0,9293.0,8860.0,407.0,610.0,172.0,1096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.44,64.71,63.35,71.2,69.79,5.88,0.0,9.32,10.87,0.0,9.82,58.51,58.79,55.13,59.72,10.71,0.0,11.06,8.55,0.0,19516400,4208.02,-7848.11
St. Francis College,1121.0,73.68,18.11,37.49,44.04,41.14,58.86,5.26,35.89,0.0,0.0,0.0,10.72,11.63,1355.0,6056.0,4761.0,1954.0,2967.0,838.0,885.0,21.18,27.27,31.07,44.57,42.86,27.06,25.25,29.13,21.74,17.14,5.65,25.57,40.97,45.96,47.61,20.88,26.48,28.63,24.26,14.14,0.0,26.92,44.0,43.9,59.38,16.35,26.92,26.0,24.39,12.5,0.0,25.64,38.07,46.2,44.29,23.45,26.1,29.32,23.78,15.1,19517300,4069.32,-7399.22
St Lawrence University,1326.0,0.0,1.94,0.0,20.08,13.19,86.81,0.0,0.0,0.0,0.0,6.0,7.98,10.88,1819.0,9201.0,8990.0,436.0,406.0,193.0,1374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.83,78.12,81.97,80.33,5.57,16.12,5.08,0.0,0.0,0.0,56.15,64.0,75.46,75.51,8.24,14.62,14.0,0.0,0.0,19521600,4458.99,-7516.13
St. Thomas Aquinas College,1159.0,71.43,7.87,26.63,30.15,31.67,68.33,0.0,0.0,0.0,0.0,10.81,20.31,18.32,1922.0,7885.0,7537.0,1423.0,993.0,587.0,1336.0,33.33,46.67,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,9.92,38.4,0.0,52.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.44,48.57,63.21,72.63,0.0,0.0,17.14,12.26,0.0,0.0,39.19,51.8,48.66,52.67,0.0,0.0,11.71,13.79,0.0,19524300,4104.16,-7393.68
Sarah Lawrence College,1376.0,0.0,0.0,0.0,20.53,10.78,89.22,0.0,0.0,0.0,0.0,0.0,0.0,12.35,2289.0,8218.0,7533.0,1190.0,1010.0,614.0,1707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23,71.85,74.22,75.46,19.02,0.0,0.0,0.0,0.0,0.0,69.14,80.72,79.55,70.37,20.43,0.0,0.0,0.0,0.0,19530400,4093.55,-7384.37
Skidmore College,1373.0,0.0,2.73,0.0,23.32,14.83,85.17,2.25,12.58,0.0,0.0,0.0,0.0,0.0,2143.0,8563.0,8207.0,845.0,743.0,426.0,1725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.76,0.0,87.43,78.65,6.8,0.0,0.0,0.0,0.0,0.0,77.39,0.0,88.79,81.98,12.23,0.0,0.0,0.0,0.0,19552600,4309.7,-7378.53
St. Joseph's University-New York,1165.0,61.05,29.92,22.61,34.11,37.57,62.43,2.1,35.47,0.0,3.05,5.19,8.96,9.9,1390.0,8229.0,7797.0,1159.0,1123.0,364.0,969.0,42.73,51.64,54.07,58.68,55.66,15.43,19.4,18.57,16.94,15.53,22.75,62.13,74.14,71.03,72.04,11.7,8.43,8.36,7.59,5.57,31.58,56.78,73.71,75.13,65.35,5.74,10.62,9.56,6.09,7.09,28.15,59.98,66.67,66.1,68.3,14.46,11.66,11.85,10.91,8.57,19554400,4069.04,-7396.77
St. John Fisher University,1196.0,70.74,13.06,15.58,22.78,25.22,74.78,1.32,23.9,0.0,4.51,6.68,8.96,9.98,1590.0,9369.0,8911.0,313.0,635.0,152.0,1073.0,70.0,64.29,75.9,66.67,70.08,0.0,8.93,0.0,0.0,0.0,17.05,65.31,73.78,73.96,73.36,0.0,6.09,0.0,0.0,0.0,18.54,62.94,76.83,75.81,76.83,0.0,4.2,5.18,0.0,6.4,26.12,66.52,71.89,71.0,70.43,0.0,7.94,6.22,0.0,5.08,19572000,4311.63,-7751.31
St. John's University-New York,1210.0,84.77,4.65,28.32,30.95,31.65,68.35,2.69,28.95,0.0,4.49,7.88,11.88,15.73,1557.0,6960.0,6033.0,1727.0,1845.0,925.0,1022.0,31.9,50.46,59.09,58.18,50.4,14.66,16.51,14.77,13.64,17.6,7.24,52.37,63.15,60.32,54.63,13.49,13.84,11.38,10.57,9.14,8.42,51.98,66.86,61.76,57.07,11.14,11.76,10.93,8.43,7.86,8.35,52.43,61.3,59.43,53.15,14.59,14.87,11.85,11.88,10.66,19580900,4072.25,-7379.61
SUNY College of Technology at Canton,1078.0,64.42,25.68,34.68,42.32,36.98,63.02,2.08,34.9,0.0,0.0,4.53,6.49,6.18,977.0,9193.0,8567.0,590.0,742.0,100.0,790.0,32.54,40.79,43.65,50.64,44.04,24.41,25.63,23.41,20.6,25.83,22.03,36.16,41.37,48.94,41.33,27.53,28.57,27.37,21.58,20.15,28.63,47.34,50.0,50.74,53.18,22.91,18.84,21.84,18.72,12.73,23.88,34.95,39.9,48.97,39.77,27.68,29.99,27.54,21.98,23.06,19601500,4460.41,-7518.29
SUNY College of Agriculture and Technology at Cobleskill,1064.0,70.67,9.66,34.5,37.99,32.9,67.1,1.74,31.15,0.0,1.96,3.96,0.0,11.14,1290.0,9060.0,8682.0,638.0,662.0,180.0,989.0,31.58,47.06,49.35,32.67,24.3,29.47,30.59,27.27,33.66,35.51,15.88,29.57,39.42,38.24,25.71,29.31,27.97,27.25,25.37,30.06,17.14,39.51,50.25,52.49,31.89,21.71,19.75,18.91,20.44,23.78,17.81,29.36,37.18,33.97,23.93,31.35,30.51,29.91,27.72,32.46,19603300,4267.25,-7449.83
